,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
148,13.1.2,9.4.1,pearson,two-sided,9,-0.6789191511928819,[-0.93 -0.03],0.0443343253952624,2.371,0.56358918030488
149,13.1.2,7.b.1,pearson,two-sided,9,0.8024642259755206,[0.3  0.96],0.009242883608871343,7.481,0.8053397945628082
150,13.1.2,2.1.1,pearson,two-sided,9,0.8130190599770343,[0.32 0.96],0.00771119745617008,8.556,0.8255875177411164
151,13.1.2,17.1.1,pearson,two-sided,9,-0.664036120933773,[-0.92  0.  ],0.051109783147601874,2.141,0.5364185571828716
152,13.1.2,8.2.1,pearson,two-sided,9,-0.06088905373934844,[-0.7   0.63],0.8763404354086984,0.411,0.05169658105521632
153,13.1.2,17.3.2,pearson,two-sided,9,0.6682742121680266,[0.01 0.92],0.049117483156589675,2.203,0.544081509157393
154,13.1.2,10.c.1,pearson,two-sided,9,0.2754691963194162,[-0.48  0.79],0.473104896214559,0.511,0.11181799410295103
155,13.1.2,3.3.3,pearson,two-sided,9,0.7457854149421709,[0.16 0.94],0.021048866147052033,4.077,0.6929041767773727
156,13.1.2,1.4.1,pearson,two-sided,9,0.6985672107734924,[0.06 0.93],0.036314416898954066,2.739,0.6005047070855216
157,13.1.2,3.3.2,pearson,two-sided,9,-0.35639821513445885,[-0.83  0.4 ],0.346478057821764,0.602,0.15975742762242187
158,13.1.2,16.3.2,pearson,two-sided,9,0.7639592490718746,[0.2  0.95],0.01655336766275084,4.864,0.7292033644391309
159,13.1.2,3.3.1,pearson,two-sided,9,-0.7168438479752803,[-0.94 -0.1 ],0.029758521080897996,3.165,0.635762311496661
160,13.1.2,15.2.1,pearson,two-sided,9,0.6820612504138527,[0.03 0.93],0.04298208765204892,2.425,0.5694160650932013
161,8.8.2,17.9.1,pearson,two-sided,9,-0.12328496097403119,[-0.73  0.59],0.752005335124503,0.425,0.060671656258638476
162,8.8.2,13.1.1,pearson,two-sided,9,0.6046155751780996,[-0.1   0.91],0.08457499968926879,1.499,0.435833767083178
163,8.8.2,6.1.1,pearson,two-sided,9,-0.9548858017765846,[-0.99 -0.79],6.143688901503224e-05,305.346,0.9973825475362947
164,8.8.2,3.b.1,pearson,two-sided,9,-0.9661733392117745,[-0.99 -0.84],2.2676398714074724e-05,632.915,0.9991937990615639
165,8.8.2,11.6.2,pearson,two-sided,9,-0.9468286999095843,[-0.99 -0.76],0.0001083279377395378,201.384,0.9951263598998843
166,8.8.2,10.4.1,pearson,two-sided,9,-0.7979240112201252,[-0.96 -0.28],0.009960591991527573,7.078,0.7965144638738784
167,8.8.2,6.5.1,pearson,two-sided,9,0.9864714745561121,[0.93 1.  ],9.358098475053835e-07,6393.053,0.999991136733728
168,8.8.2,1.a.2,pearson,two-sided,9,-0.8316618554798674,[-0.96 -0.37],0.005443435719892696,11.08,0.8601271616082422
169,8.8.2,4.2.2,pearson,two-sided,9,0.9343500815490606,[0.71 0.99],0.00022377232662636442,118.061,0.9897395334242358
170,8.8.2,7.1.1,pearson,two-sided,9,-0.9279367462392238,[-0.99 -0.69],0.0003081122518454901,93.242,0.9860068807256863
171,8.8.2,7.3.1,pearson,two-sided,9,0.7800430026769486,[0.24 0.95],0.013152359752302983,5.763,0.7612765226824111
172,8.8.2,3.9.3,pearson,two-sided,9,-0.9864714745561133,[-1.   -0.93],9.35809847505089e-07,6393.053,0.9999911367337281
173,8.8.2,7.1.2,pearson,two-sided,9,0.9836437653277492,[0.92 1.  ],1.8134362073514636e-06,3963.76,0.9999751583341809
174,8.8.2,17.8.1,pearson,two-sided,9,0.9887738013066333,[0.95 1.  ],4.88204718052767e-07,1.022e+04,0.9999969371551707
