,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
180,8.8.2,4.2.2,pearson,two-sided,9,-0.9694784891828537,[-0.99 -0.86],1.5874499290091494e-05,820.877,0.9994848919063809
181,8.8.2,15.8.1,pearson,two-sided,9,-0.8376200187221451,[-0.96 -0.39],0.004828042727673465,12.112,0.8707439001511736
182,8.8.2,7.1.1,pearson,two-sided,9,0.9205489090191953,[0.66 0.98],0.00043038164612506765,72.838,0.9808725993942988
183,8.8.2,3.d.2,pearson,two-sided,9,0.9727429522655913,[0.87 0.99],1.0718834380195415e-05,1092.588,0.9996905722035813
184,8.8.2,7.3.1,pearson,two-sided,9,0.9349712864245909,[0.71 0.99],0.0002165824923207611,120.938,0.9900656157944537
185,8.8.2,7.1.2,pearson,two-sided,9,0.9718551657607182,[0.87 0.99],1.1980874931152619e-05,1007.579,0.9996418599673355
186,8.8.2,17.8.1,pearson,two-sided,9,-0.9372808609161534,[-0.99 -0.72],0.00019127295275303113,132.538,0.9912236467398701
187,8.8.2,11.5.1,pearson,two-sided,9,-0.4113020452958809,[-0.84  0.35],0.2714165471331913,0.695,0.20251206046092257
188,8.8.2,4.5.1,pearson,two-sided,9,-0.9715872556513384,[-0.99 -0.87],1.2381548601598491e-05,983.739,0.9996261455686337
189,8.8.2,6.2.1,pearson,two-sided,9,0.9662396598921208,[0.84 0.99],2.2522641646172446e-05,636.065,0.9992005543932813
190,8.8.2,11.5.2,pearson,two-sided,9,0.37187187495279816,[-0.39  0.83],0.32438960661746863,0.625,0.17090572303636656
191,8.8.2,12.4.2,pearson,two-sided,9,0.8765257470057763,[0.51 0.97],0.0019263464130612172,23.975,0.9328027260201983
192,8.8.2,8.9.1,pearson,two-sided,9,-0.5896843560110054,[-0.9   0.12],0.0946761049973842,1.386,0.41269444873589417
193,8.8.2,3.8.2,pearson,two-sided,9,0.7814331360440883,[0.24 0.95],0.012882588038187214,5.852,0.7640368876046614
194,8.8.2,4.3.1,pearson,two-sided,9,0.9726370153057229,[0.87 0.99],1.0864223053878036e-05,1081.93,0.9996850247583111
