Var1,Var2,value
17.1.1,15.2.1,-0.792331408559708
9.1.2,3.3.5,-0.792523255164242
11.6.2,7.3.1,-0.792680445904638
11.1.1,17.17.1,-0.792874508820407
12.a.1,15.6.1,0.794100082162039
15.6.1,7.b.1,0.794100082162039
4.3.1,17.1.1,0.794610472949251
1.3.1,17.1.1,-0.795183614154795
17.1.1,17.3.2,-0.795380442861817
7.3.1,17.3.2,0.795382875580708
6.2.1,15.6.1,-0.796665934076346
16.2.2,3.3.5,-0.796699324742861
7.3.1,9.5.1,-0.796903466805998
3.4.1,9.5.1,-0.79712640531017
2.1.1,17.1.1,-0.797722098537834
8.8.2,10.4.1,-0.797924011220125
7.3.1,17.3.1,-0.798010109721393
1.a.2,7.1.1,0.798822006548171
10.4.1,11.1.1,0.798859634878138
3.2.1,17.1.1,0.798918864544046
9.5.2,3.3.3,-0.799664578980624
7.1.1,6.2.1,0.799823805564642
17.13.1,3.3.3,0.800271926528935
6.6.1,17.1.1,0.800892529297245
11.5.2,17.13.1,0.801610051774657
4.2.2,7.2.1,-0.801870206762518
8.8.2,17.1.1,-0.801889319748711
8.8.2,14.1.1,-0.802395537750093
2.a.1,17.17.1,-0.802446228607964
1.5.3,7.b.1,0.802464225975521
11.b.1,12.a.1,0.802464225975521
11.b.1,7.b.1,0.802464225975521
12.a.1,1.5.3,0.802464225975521
13.1.2,12.a.1,0.802464225975521
13.1.2,7.b.1,0.802464225975521
10.c.1,1.4.1,0.802850858406312
1.5.3,3.3.5,0.80381476530679
11.b.1,3.3.5,0.80381476530679
13.1.2,3.3.5,0.80381476530679
