Var1,Var2,value
3.6.1,15.2.1,0.885993581743362
3.b.1,3.3.3,0.886181877666629
3.8.2,5.b.1,0.886213865664816
4.5.1,2.1.1,-0.886218184749986
12.b.1,1.4.1,-0.886449085965216
15.8.1,9.5.2,-0.886635538520098
3.3.3,2.5.2,-0.886813107876825
5.b.1,16.2.2,0.886925475512846
15.8.1,8.3.1,0.887025558059299
10.5.1,12.b.1,-0.88705452555139
17.13.1,9.4.1,-0.887181334058147
8.3.1,17.13.1,0.887271673263302
4.2.2,2.5.1,-0.887504789229967
6.2.1,15.2.1,0.88771391545873
11.1.1,16.2.2,0.887756860071966
2.a.1,7.a.1,0.887875144164181
7.1.2,2.a.1,-0.888181201978958
17.8.1,15.2.1,-0.889239742920594
14.1.1,9.1.2,0.889285114650771
