"","Var1","Var2","value","abs","tie"
"1338","15.8.1","1.3.1",0.880874039103796,0.880874039103796,1
"1339","7.1.1","1.3.1",-0.9676618018445,0.9676618018445,0
"1340","3.d.2","1.3.1",-0.988487967555966,0.988487967555966,0
"1341","7.3.1","1.3.1",-0.941631733588878,0.941631733588878,0
"1342","7.1.2","1.3.1",-0.991378739814501,0.991378739814501,0
"1343","17.8.1","1.3.1",0.950439183906124,0.950439183906124,1
"1344","11.5.1","1.3.1",0.529253881869522,0.529253881869522,1
"1345","4.5.1","1.3.1",0.968627338136898,0.968627338136898,1
"1346","6.2.1","1.3.1",-0.978009894915989,0.978009894915989,0
"1347","11.5.2","1.3.1",-0.350960451323769,0.350960451323769,0
"1348","12.4.2","1.3.1",-0.815983460665669,0.815983460665669,0
"1349","8.9.1","1.3.1",0.706783054564773,0.706783054564773,1
"1350","3.8.2","1.3.1",-0.82128633611166,0.82128633611166,0
"1351","4.3.1","1.3.1",-0.988380315878917,0.988380315878917,0
"1352","7.2.1","1.3.1",0.905039849625014,0.905039849625014,1
"1353","2.a.1","1.3.1",0.885905994236579,0.885905994236579,1
"1354","6.4.2","1.3.1",-0.969415203333918,0.969415203333918,0
"1355","6.6.1","1.3.1",0.969297324065745,0.969297324065745,1
"1356","3.8.1","1.3.1",0.988487967555966,0.988487967555966,1
"1357","10.5.1","1.3.1",-0.945124375689471,0.945124375689471,0
"1358","6.4.1","1.3.1",0.976569251758865,0.976569251758865,1
"1359","10.7.3","1.3.1",0.163728588558803,0.163728588558803,0
"1360","11.1.1","1.3.1",-0.969661253755808,0.969661253755808,0
"1361","2.c.1","1.3.1",0.149016116226901,0.149016116226901,0
"1362","14.1.1","1.3.1",0.814593563198662,0.814593563198662,1
"1363","1.1.1","1.3.1",-0.972485138489026,0.972485138489026,0
"1364","12.c.1","1.3.1",0.7801588939737,0.7801588939737,1
"1365","11.b.1","1.3.1",0.563885557546926,0.563885557546926,1
"1366","2.2.2","1.3.1",-0.98517649485458,0.98517649485458,0
"1367","9.5.2","1.3.1",-0.982283929310071,0.982283929310071,0
"1368","3.4.1","1.3.1",0.988487967555966,0.988487967555966,1
"1369","15.5.1","1.3.1",0.992302766958939,0.992302766958939,1
"1370","8.3.1","1.3.1",0.98096634601151,0.98096634601151,1
"1371","1.5.4","1.3.1",-0.401712935554523,0.401712935554523,0
