,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
189,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2016.0,6.0
190,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2017.0,300.0
191,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2018.0,316.0
192,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2019.0,81.0
193,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2020.0,62.0
194,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2012.0,58569.0
195,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2013.0,2319.0
196,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2014.0,30864.0
197,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2015.0,17003.0
198,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2016.0,45055.0
199,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2017.0,93380.0
200,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2018.0,22722.0
201,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2019.0,10333.0
202,VC_DSR_AFFCT                         ,1.0,1.5,1.5.1,VC_DSR_AFFCT,2020.0,814006.0
203,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2012.0,95.0
204,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2013.0,75.0
205,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2014.0,53.0
206,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2015.0,979.0
207,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2016.0,57.0
208,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2017.0,15.0
209,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2018.0,684.0
210,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2019.0,19.0
211,VC_DSR_MORT                         ,1.0,1.5,1.5.1,VC_DSR_MORT,2020.0,4896.0
212,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2012.0,0.6411
213,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2013.0,0.51005
214,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2014.0,0.35239000000000004
215,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2015.0,7.40913
216,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2016.0,0.38058000000000003
217,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2017.0,1.8612400000000002
218,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2018.0,6.7108300000000005
219,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2019.0,0.56776
220,VC_DSR_MTMP                         ,1.0,1.5,1.5.1,VC_DSR_MTMP,2020.0,27.588890000000003
221,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2012.0,96.0
222,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2013.0,78.0
223,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2014.0,55.0
224,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2015.0,1199.0
225,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2016.0,63.0
226,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2017.0,315.0
227,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2018.0,1000.0
228,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2019.0,100.0
229,VC_DSR_MMHN                         ,1.0,1.5,1.5.1,VC_DSR_MMHN,2020.0,4958.0
230,VC_DSR_DAFF                         ,1.0,1.5,1.5.1,VC_DSR_DAFF,2012.0,391.12838999999997
